"V1","V2","V3","V4"
1.44144100473272e-05,1.14777960558152e-05,0,0
1.41140143523689e-05,1.13249459854405e-05,0,0
1.38168273635012e-05,1.11732429039629e-05,0,0
1.35228490807244e-05,1.10226868113825e-05,0,0
1.32320795040384e-05,1.08732777076993e-05,0,0
1.29445186334431e-05,1.07250155929133e-05,0,0
1.26601664689386e-05,1.05779004670244e-05,0,0
1.2379023010525e-05,1.04319323300327e-05,0,0
1.2101088258202e-05,1.02871111819382e-05,0,0
1.18263622119699e-05,1.01434370227408e-05,0,0
1.15548448718286e-05,1.00009098524406e-05,0,0
1.1286536237778e-05,9.85952967103758e-06,0,0
1.10214363098182e-05,9.71929647853173e-06,0,0
1.07595450879492e-05,9.58021027492304e-06,0,0
1.0500862572171e-05,9.44227106021152e-06,0,0
1.02453887624836e-05,9.30547883439717e-06,0,0
9.99312365888695e-06,9.16983359747999e-06,0,0
9.74406726138108e-06,9.03533534945998e-06,0,0
9.498219569966e-06,8.90198409033714e-06,0,0
9.25558058464171e-06,8.76977982011147e-06,0,0
9.01615030540819e-06,8.63872253878297e-06,0,0
8.77992873226546e-06,8.50881224635164e-06,0,0
8.54691586521351e-06,8.38004894281747e-06,0,0
8.31711170425234e-06,8.25243262818048e-06,0,0
8.09051624938196e-06,8.12596330244065e-06,0,0
7.86712950060236e-06,8.000640965598e-06,0,0
7.64695145791354e-06,7.87646561765251e-06,0,0
7.42998212131551e-06,7.75343725860419e-06,0,0
7.21622149080825e-06,7.63155588845304e-06,0,0
7.00566956639178e-06,7.51082150719906e-06,0,0
6.7983263480661e-06,7.39123411484226e-06,0,0
6.59419183583119e-06,7.27279371138261e-06,0,0
6.39326602968707e-06,7.15550029682014e-06,0,0
6.19554892963374e-06,7.03935387115484e-06,0,0
6.00104053567118e-06,6.92435443438671e-06,0,0
5.80974084779941e-06,6.81050198651575e-06,0,0
5.62164986601842e-06,6.69779652754195e-06,0,0
5.43676759032822e-06,6.58623805746533e-06,0,0
5.25509402072879e-06,6.47582657628587e-06,0,0
5.07662915722016e-06,6.36656208400359e-06,0,0
4.9013729998023e-06,6.25844458061847e-06,0,0
4.72932554847522e-06,6.15147406613052e-06,0,0
4.56048680323893e-06,6.04565054053974e-06,0,0
4.39485676409342e-06,5.94097400384613e-06,0,0
4.2324354310387e-06,5.83744445604969e-06,0,0
4.07322280407476e-06,5.73506189715042e-06,0,0
3.9172188832016e-06,5.63382632714832e-06,0,0
3.76442366841922e-06,5.53373774604339e-06,0,0
3.61483715972763e-06,5.43479615383563e-06,0,0
3.46845935712682e-06,5.33700155052503e-06,0,0
3.32529026061679e-06,5.24035393611161e-06,0,0
3.18532987019754e-06,5.14485331059536e-06,0,0
3.04857818586908e-06,5.05049967397627e-06,0,0
2.9150352076314e-06,4.95729302625435e-06,0,0
2.78470093548451e-06,4.86523336742961e-06,0,0
2.65757536942839e-06,4.77432069750203e-06,0,0
2.53365850946306e-06,4.68455501647162e-06,0,0
2.41295035558852e-06,4.59593632433838e-06,0,0
2.29545090780475e-06,4.50846462110231e-06,0,0
2.18116016611177e-06,4.42213990676341e-06,0,0
2.07007813050957e-06,4.33696218132168e-06,0,0
1.96220480099816e-06,4.25293144477712e-06,0,0
1.85754017757752e-06,4.17004769712972e-06,0,0
1.75608426024767e-06,4.0883109383795e-06,0,0
1.65783704900861e-06,4.00772116852645e-06,0,0
1.56279854386032e-06,3.92827838757056e-06,0,0
1.47096874480282e-06,3.84998259551185e-06,0,0
1.3823476518361e-06,3.7728337923503e-06,0,0
1.29693526496017e-06,3.69683197808592e-06,0,0
1.21473158417501e-06,3.62197715271871e-06,0,0
1.13573660948065e-06,3.54826931624868e-06,0,0
1.05995034087706e-06,3.47570846867581e-06,0,0
9.87372778364255e-07,3.40429461000011e-06,0,0
9.18003921942234e-07,3.33402774022158e-06,0,0
8.51843771610996e-07,3.26490785934021e-06,0,0
7.88892327370541e-07,3.19693496735602e-06,0,0
7.29149589220869e-07,3.130109064269e-06,0,0
6.7261555716198e-07,3.06443015007915e-06,0,0
6.19290231193874e-07,2.99989822478646e-06,0,0
5.69173611316551e-07,2.93651328839095e-06,0,0
5.2226569753001e-07,2.8742753408926e-06,0,0
4.78566489834253e-07,2.81318438229142e-06,0,0
4.38075988229278e-07,2.75324041258742e-06,0,0
4.00794192715087e-07,2.69444343178058e-06,0,0
3.66721103291678e-07,2.63679343987091e-06,0,0
3.35856719959052e-07,2.58029043685841e-06,0,0
3.08201042717209e-07,2.52493442274308e-06,0,0
2.83754071566149e-07,2.47072539752492e-06,0,0
2.62515806505872e-07,2.41766336120393e-06,0,0
2.44486247536378e-07,2.3657483137801e-06,0,0
2.29665394657667e-07,2.31498025525345e-06,0,0
2.18053247869738e-07,2.26535918562397e-06,0,0
2.09649807172593e-07,2.21688510489165e-06,0,0
2.04346339119084e-07,2.16953601136447e-06,0,0
1.99950760425126e-07,2.12286834749323e-06,0,0
1.95602972534186e-07,2.07670807645617e-06,0,0
1.91302975446263e-07,2.03105519825328e-06,0,0
1.87050769161359e-07,1.98590971288456e-06,0,0
1.82846353679472e-07,1.94127162035003e-06,0,0
1.78689729000603e-07,1.89714092064967e-06,0,0
1.74580895124752e-07,1.85351761378349e-06,0,0
1.70519852051919e-07,1.81040169975148e-06,0,0
1.66506599782104e-07,1.76779317855365e-06,0,0
1.62541138315306e-07,1.72569205018999e-06,0,0
1.58623467651526e-07,1.68409831466051e-06,0,0
1.54753587790764e-07,1.64301197196521e-06,0,0
1.5093149873302e-07,1.60243302210408e-06,0,0
1.47157200478294e-07,1.56236146507713e-06,0,0
1.43430693026585e-07,1.52279730088436e-06,0,0
1.39751976377895e-07,1.48374052952576e-06,0,0
1.36121050532222e-07,1.44519115100134e-06,0,0
1.32537915489567e-07,1.40714916531109e-06,0,0
1.29002571249929e-07,1.36961457245502e-06,0,0
1.2551501781331e-07,1.33258737243313e-06,0,0
1.22075255179708e-07,1.29606756524541e-06,0,0
1.18683283349124e-07,1.26005515089187e-06,0,0
1.15339102321558e-07,1.22455012937251e-06,0,0
1.1204271209701e-07,1.18955250068732e-06,0,0
1.0879411267548e-07,1.15506226483631e-06,0,0
1.05593304056967e-07,1.12107942181947e-06,0,0
1.02440286241472e-07,1.08760397163682e-06,0,0
9.93350592289954e-08,1.05463591428833e-06,0,0
9.62776230195362e-08,1.02217524977403e-06,0,0
